name	value
Massachusetts Institute of Technology (MIT)	1
Stanford University	2
Harvard University	3
University of Cambridge	4
California Institute of Technology (Caltech)	5
University of Oxford	6
UCL (University College London)	7
ETH Zurich - Swiss Federal Institute of Technology	8
Imperial College London	9
University of Chicago	10
Princeton University	11
National University of Singapore (NUS)	12
Nanyang Technological University, Singapore (NTU)	13
Ecole Polytechnique Federale of Lausanne	14
Yale University	15
Cornell University	16
Johns Hopkins University	17
University of Pennsylvania	18
The University of Edinburgh	19
Columbia University	20
King's College London	21
Australian National University	22
University of Michigan	23
Tsinghua University	24
Duke University	24
Northwestern University	26
The University of Hong Kong	27
University of California, Berkeley (UCB)	28
The University of Manchester	29
McGill University	30
University of California, Los Angeles (UCLA)	31
University of Toronto	32
Ecole Normale Superieure, Paris	33
The University of Tokyo	34
Seoul National University	35
The Hong Kong University of Science and Technology	36
Kyoto University	37
London School of Economics and Political Science (LSE)	37
Peking University	39
University of California, San Diego (UCSD)	40
University of Bristol	41
The University of Melbourne	42
Fudan University	43
The Chinese University of Hong Kong (CUHK)	44
University of British Columbia	45
The University of Sydney	46
KAIST - Korea Advanced Institute of Science & Technology	46
New York University (NYU)	46
The University of New South Wales (UNSW Australia)	49
Brown University	49
University of Wisconsin--Madison	53
University of Washington	59
University of Illinois--Urbana-Champaign	66
University of Texas--Austin	67
University of Copenhagen	68
University of North Carolina--Chapel Hill	78
University of California--Davis	85
Ohio State University--Columbus	88
Boston University	89
University of California--Santa Barbara	118
University of Maryland--College Park	131
University of Minnesota--Twin Cities	137
University of Pittsburgh	145
University of Colorado--Boulder	170
University of California--Santa Cruz	296
Massachusetts Institute of Technology (MIT)	-2
Stanford University	-3
Harvard University	-1
University of Cambridge	-7
California Institute of Technology (Caltech)	-5
University of Oxford	-6
UCL (University College London)	-23
ETH Zurich - Swiss Federal Institute of Technology	-35
Imperial College London	-19
University of Chicago	-13
Princeton University	-8
National University of Singapore (NUS)	-50
Nanyang Technological University, Singapore (NTU)	-74
Ecole Polytechnique Federale of Lausanne	-40
Yale University	-14
Cornell University	-22
Johns Hopkins University	-11
University of Pennsylvania	-17
The University of Edinburgh	-36
Columbia University	-9
King's College London	-45
Australian National University	-80
University of Michigan	-17
Tsinghua University	-57
Duke University	-19
Northwestern University	-25
The University of Hong Kong	-106
University of California, Berkeley (UCB)	-4
The University of Manchester	-59
McGill University	-50
University of California, Los Angeles (UCLA)	-10
University of Toronto	-21
Ecole Normale Superieure, Paris	-231
The University of Tokyo	-44
Seoul National University	-119
The Hong Kong University of Science and Technology	-164
Kyoto University	-102
London School of Economics and Political Science (LSE)	-261
Peking University	-53
University of California, San Diego (UCSD)	-15
University of Bristol	-76
The University of Melbourne	-36
Fudan University	-121
The Chinese University of Hong Kong (CUHK)	-154
University of British Columbia	-31
The University of Sydney	-45
KAIST - Korea Advanced Institute of Science & Technology	-187
New York University (NYU)	-27
The University of New South Wales (UNSW Australia)	-80
Brown University	-85
University of Wisconsin--Madison	-29
University of Washington	-11
University of Illinois--Urbana-Champaign	-47
University of Texas--Austin	-30
University of Copenhagen	-49
University of North Carolina--Chapel Hill	-32
University of California--Davis	-42
Ohio State University--Columbus	-43
Boston University	-32
University of California--Santa Barbara	-24
University of Maryland--College Park	-40
University of Minnesota--Twin Cities	-38
University of Pittsburgh	-47
University of Colorado--Boulder	-32
University of California--Santa Cruz	-27
