 ,2016,2015,2014,2013,2012
,-90,-90,-90,-90,-90
Brown University,-49,-49,-52,-47,-42
The University of New South Wales (UNSW Australia),-49,-46,-48,-52,-52
New York University (NYU),-46,-53,-41,-44,-43
KAIST - Korea Advanced Institute of Science & Technology,-46,-43,-51,-60,-63
The University of Sydney,-46,-45,-37,-38,-39
University of British Columbia,-45,-50,-43,-49,-45
The Chinese University of Hong Kong (CUHK),-44,-51,-46,-39,-40
Fudan University,-43,-51,-71,-88,-90
The University of Melbourne,-42,-42,-33,-31,-36
University of Bristol,-41,-37,-29,-30,-28
"University of California, San Diego (UCSD)",-40,-44,-59,-63,-70
Peking University,-39,-41,-57,-46,-44
London School of Economics and Political Science (LSE),-37,-35,-71,-68,-69
Kyoto University,-37,-38,-36,-35,-35
The Hong Kong University of Science and Technology,-36,-28,-28,-34,-33
Seoul National University,-35,-36,-31,-35,-37
The University of Tokyo,-34,-39,-31,-32,-30
"Ecole normale sup?_rieure, Paris",-33,-23,-24,-28,-34
University of Toronto,-32,-34,-20,-17,-19
"University of California, Los Angeles (UCLA)",-31,-27,-37,-40,-31
McGill University,-30,-24,-21,-21,-18
The University of Manchester,-29,-33,-30,-33,-32
"University of California, Berkeley (UCB)",-28,-26,-27,-25,-22
The University of Hong Kong,-27,-30,-28,-26,-23
Northwestern University,-26,-32,-34,-29,-27
Duke University,-24,-29,-25,-23,-20
Tsinghua University,-24,-25,-47,-48,-48
University of Michigan,-23,-30,-23,-22,-17
The Australian National University,-22,-19,-25,-27,-24
King's College London,-21,-19,-16,-19,-26
Columbia University,-20,-22,-14,-14,-11
The University of Edinburgh,-19,-21,-17,-17,-21
University of Pennsylvania,-18,-18,-13,-13,-12
Johns Hopkins University,-17,-16,-14,-16,-16
Cornell University,-16,-17,-19,-15,-14
Yale University,-15,-15,-10,-8,-7
Ecole polytechnique fzdzrale de Lausanne (EPFL),-14,-14,-17,-19,-29
"Nanyang Technological University, Singapore (NTU)",-13,-13,-39,-41,-47
National University of Singapore (NUS),-12,-12,-22,-24,-25
Princeton University,-11,-11,-9,-10,-9
University of Chicago,-10,-10,-11,-9,-8
Imperial College London,-9,-8,-2,-5,-6
ETH Zurich - Swiss Federal Institute of Technology,-8,-9,-12,-12,-13
UCL (University College London),-7,-7,-5,-4,-4
University of Oxford,-6,-6,-5,-6,-5
California Institute of Technology (Caltech),-5,-5,-8,-10,-10
University of Cambridge,-4,-3,-2,-3,-2
Harvard University,-3,-2,-4,-2,-3
Stanford University,-2,-3,-7,-7,-15
Massachusetts Institute of Technology (MIT),-1,-1,-1,-1,-1
